	domain	phylum	class	order	family	genus	species
ASV_21874	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	NA	NA	NA
ASV_21875	Bacteria	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	RB41	NA
ASV_21876	Bacteria	NA	NA	NA	NA	NA	NA
ASV_21877	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	NA	NA	NA
ASV_21878	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae	NA	NA
ASV_21879	Bacteria	Myxococcota	Polyangia	mle1-27	NA	NA	NA
ASV_21880	Bacteria	Myxococcota	Polyangia	Polyangiales	BIrii41	NA	NA
ASV_21881	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	NA	NA
ASV_21882	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	NA	NA
ASV_21883	Bacteria	Firmicutes	Desulfotomaculia	Desulfotomaculales	Pelotomaculaceae	Pelotomaculum	NA
ASV_21884	Bacteria	NB1-j	NA	NA	NA	NA	NA
ASV_21885	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	NA	NA
ASV_21886	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pirellula	NA
ASV_21887	Bacteria	Chloroflexi	NA	NA	NA	NA	NA
ASV_21888	Bacteria	Zixibacteria	NA	NA	NA	NA	NA
ASV_21889	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101 soil group	NA	NA
ASV_21890	Bacteria	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	P3OB-42	NA
ASV_21891	Bacteria	Myxococcota	Polyangia	Polyangiales	BIrii41	NA	NA
ASV_21892	Bacteria	Planctomycetota	Phycisphaerae	NA	NA	NA	NA
ASV_21893	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	NA	NA	NA
ASV_21894	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Georgfuchsia	NA
ASV_21895	Bacteria	Gemmatimonadota	S0134 terrestrial group	NA	NA	NA	NA
ASV_21896	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae	NA	NA
ASV_21897	Bacteria	Acidobacteriota	Aminicenantia	Aminicenantales	NA	NA	NA
ASV_21898	Bacteria	Myxococcota	Polyangia	Haliangiales	Haliangiaceae	Haliangium	NA
ASV_21899	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Niveibacterium	NA
ASV_21900	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	NA	NA	NA
